rule_id,source,table,category,drug_class,example_drugs,practice_statement_verbatim
MALPIP-S2-C02-04,MALPIP,S2 (Independent PIM list),Antihypertensives (C02),Doxazosin,,May cause hypotension and increase fall risk
MALPIP-S2-C02-05,MALPIP,S2 (Independent PIM list),Antihypertensives (C02),Prazosin,,May cause hypotension and increase fall risk
MALPIP-S2-C02-06,MALPIP,S2 (Independent PIM list),Antihypertensives (C02),Reserpine,,May cause hypotension and increase fall risk
MALPIP-S2-C03-01,MALPIP,S2 (Independent PIM list),Diuretics (C03),Loop diuretics,"Furosemide, bumetanide","Increase risk of falls, urinary incontinence, acute kidney injury, electrolyte imbalances. Should not be used as first-line agent"
MALPIP-S2-C03-02,MALPIP,S2 (Independent PIM list),Diuretics (C03),Thiazide diuretics,"Hydrochlorothiazide, indapamide","May cause hyponatremia, hypokalaemia, hyperuricemia and hypercalcaemia. Baseline serum electrolyte measurement and routine monitoring of serum electrolytes warranted."
MALPIP-S2-C03-03,MALPIP,S2 (Independent PIM list),Diuretics (C03),Spironolactone,,"Increase the risk of hyperkalaemia. Initiate with low dose and monitor serum level frequently, especially in impaired kidney function."
MALPIP-S2-C07-01,MALPIP,S2 (Independent PIM list),Beta blocking agents (C07),Non-selective beta-blocker,"Propranolol, labetalol, sotalol",May increase fall risk. Consider using selective beta-blockers if indicated. 
MALPIP-S2-C08-01,MALPIP,S2 (Independent PIM list),Calcium channel blockers (C08),Non- dihydropyridine calcium channel blocker,"Diltiazem, verapamil","May increase the risk of bradycardia and interact with digoxin, beta-blockers"
MALPIP-S2-C08-02,MALPIP,S2 (Independent PIM list),Calcium channel blockers (C08),Dihydropyridine calcium channel blocker,Short acting nifedipine,Higher risk of cardiac and all-cause mortality
MALPIP-S2-G03-01,MALPIP,S2 (Independent PIM list),Sex hormones and modulators of genital systems (G03),Oral oestrogens,"Oestradiol, estriol, tibolone","Contraindicated in patients with hepatic impairment or disease. Dose, duration and type of oestrogen should be evaluated on case-by-case basis"
MALPIP-S2-G03-02,MALPIP,S2 (Independent PIM list),Sex hormones and modulators of genital systems (G03),Androgens,Testosterone,May cause polycythaemia and sleep apnoea
MALPIP-S2-G03-03,MALPIP,S2 (Independent PIM list),Sex hormones and modulators of genital systems (G03),Megestrol,,Risk of thromboembolic events
MALPIP-S2-G04-01,MALPIP,S2 (Independent PIM list),Urological (G04),Phosphodiesterase-5 inhibitors,"Sildenafil, tadalafil, vardenafil",May cause hypotension. Contraindicated in nitrate users. Use with caution in patients on vasodilators and diuretics.
MALPIP-S2-G04-02,MALPIP,S2 (Independent PIM list),Urological (G04),Antimuscarinics for urinary frequency and incontinence,"Oxybutynin, solifenacin, tolterodine","Due to anticholinergic effects, may increase risk of falls and delirium"
MALPIP-S2-G04-03,MALPIP,S2 (Independent PIM list),Urological (G04),Selective alpha-1 blockers,"Tamsulosin, alfuzosin, terazosin",Postural hypotension and dizziness may happen but less common than prazosin. Closely supervise those on antihypertensive treatment because of possible additive hypotensive effects.
MALPIP-S2-H01-01,MALPIP,S2 (Independent PIM list),Pituitary and Hypothalamic Hormones and Analogues (H01),Desmopressin,,May cause hyponatremia. Monitor electrolyte imbalances if initiated. 
MALPIP-S2-H02-01,MALPIP,S2 (Independent PIM list),Corticosteroids for systemic use (H02),Systemic corticosteroids,"Methylprednisolone, prednisolone, betamethasone, dexamethasone, hydrocortisone",Can use for short-term if indicated. Multiple adverse events such as altered glucose level and impaired immunity if used for long-term. 
MALPIP-S2-J01-01,MALPIP,S2 (Independent PIM list),Antibacterial for systemic use (J01),Nitrofurantoin,,"Avoid use in long-term suppression of infections and in patients with a CrCl less than 30 mL/min due to potential for pulmonary toxicity, hepatoxicity, and peripheral neuropathy, use safer alternatives."
MALPIP-S2-J01-02,MALPIP,S2 (Independent PIM list),Antibacterial for systemic use (J01),Vancomycin,,"Greater risk for nephrotoxicity, especially with concurrent aminoglycoside administration. Dose adjustment and monitoring recommended"
MALPIP-S2-J01-03,MALPIP,S2 (Independent PIM list),Antibacterial for systemic use (J01),Clindamycin,,Elderly with severe illness may be less tolerant of diarrhoea; monitoring of bowel frequency and fluid support recommended
MALPIP-S2-J01-04,MALPIP,S2 (Independent PIM list),Antibacterial for systemic use (J01),Aminoglycosides,"Gentamicin, amikacin",Increase risk of nephrotoxicity
MALPIP-S2-L01-01,MALPIP,S2 (Independent PIM list),Antineoplastic agents (L01),Growth hormone,,"May impair glucose control and cause soft tissue oedema, arthralgias, carpal tunnel syndrome, and gynecomastia"
MALPIP-S2-L01-02,MALPIP,S2 (Independent PIM list),Antineoplastic agents (L01),Monoclonal antibodies,"Rituximab, bevacizumab","May cause oedema, cardiac complications, haematologic side effects, hepatic enzyme derange, nephrotoxicity."
MALPIP-S2-L04-01,MALPIP,S2 (Independent PIM list),Immunosuppressants (L04),Leflunomide,,"Raised liver enzymes, headache, increased risk of infection. Contraindicated in severe hepatic impairment. Routine blood test warranted"
MALPIP-S2-L04-02,MALPIP,S2 (Independent PIM list),Immunosuppressants (L04),Methotrexate,,"Myelosuppression, pulmonary infiltrates, hepatic fibrosis, nephrotoxicity and cirrhosis. Routine blood test, dosage adjustment and baseline chest radiography warranted."
MALPIP-S2-L04-03,MALPIP,S2 (Independent PIM list),Immunosuppressants (L04),Azathioprine,,"Common gastrointestinal, dermatological and hematologic side effects. Dose adjustments warranted"
MALPIP-S2-L04-4,MALPIP,S2 (Independent PIM list),Immunosuppressants (L04),Etanercept,,May increase risk of infections and worsening heart failure. Baseline blood test warranted.
MALPIP-S2-M01-01,MALPIP,S2 (Independent PIM list),Anti-inflammatory and antirheumatic products (M01),Non-COX-2 selective NSAIDs,"Benzydamine, diclofenac, ibuprofen, indomethacin, ketoprofen, ketorolac, mefenamic acid, meloxicam, naproxen, piroxicam",Increase risk of gastrointestinal and renal side effects. Use at the lowest effective dose for the shortest period of time if indicated. 
MALPIP-S2-M01-02,MALPIP,S2 (Independent PIM list),Anti-inflammatory and antirheumatic products (M01),COX-2 selective inhibitors,"Etoricoxib, celecoxib",Increase risk of gastrointestinal and cardiovascular side effects. Use at the lowest effective dose for the shortest period of time if indicated.
MALPIP-S2-M03-01,MALPIP,S2 (Independent PIM list),Muscle relaxants (M03),Baclofen,,Increase risk of injury and delirium 
MALPIP-S2-M03-02,MALPIP,S2 (Independent PIM list),Muscle relaxants (M03),Orphenadrine,,"Due to anticholinergic effects, may cause drowsiness, confusion and falls"
MALPIP-S2-M03-03,MALPIP,S2 (Independent PIM list),Muscle relaxants (M03),Chlorzoxazone,,"Due to anticholinergic effects, may cause drowsiness, confusion and falls"
MALPIP-S2-M04-01,MALPIP,S2 (Independent PIM list),Antigout preparations (M04),Colchicine,,"Diarrhoea is common. Use with caution and reduce dose in older adults with CrCl less than 30 mL/min due to increased risk of bone marrow toxicity, gastrointestinal and neuromuscular adverse events"
MALPIP-S2-N02-01,MALPIP,S2 (Independent PIM list),Analgesics (N02),Opioids,"Meperidine (pethidine), pentazocine, morphine, tramadol, methadone","May increase fall risk due to sedation and cognitive impairment. Regular evaluations if initiated, start with a lower dosage, and use a safer alternative if possible"
MALPIP-S2-N02-02,MALPIP,S2 (Independent PIM list),Analgesics (N02),Ergotamine and derivatives,,"May cause ischemia, overuse headache, paraesthesia, and ergotism"
MALPIP-S2-N02-03,MALPIP,S2 (Independent PIM list),Analgesics (N02),Fentanyl patch,,Not recommended for opioid-naïve patients due to respiratory depression
MALPIP-S2-N03-01,MALPIP,S2 (Independent PIM list),Antiepileptics drugs (N03),Barbiturates,Phenobarbitone,High potential for physical dependence and risk of overdose at low dosages. May develop tolerance.
MALPIP-S2-N03-02,MALPIP,S2 (Independent PIM list),Antiepileptics drugs (N03),Phenytoin,,Risk of neurology and cardia  toxicity
MALPIP-S2-N03-03,MALPIP,S2 (Independent PIM list),Antiepileptics drugs (N03),Lithium,,"May affect cognitive function, cause hypothyroidism, impair renal functions"
MALPIP-S2-N03-04,MALPIP,S2 (Independent PIM list),Antiepileptics drugs (N03),Sodium valproate,,"Reduced drug clearance in elderly, may induce irritability and depression. Review medication profile for drugs interactions if initiated"
MALPIP-S2-N04-01,MALPIP,S2 (Independent PIM list),Antiparkinson agents (N04),Trihexyphenidyl (benzhexol),,May cause delirium and confusion.
MALPIP-S2-N04-02,MALPIP,S2 (Independent PIM list),Antiparkinson agents (N04),Biperiden,,"Due to anticholinergic effects, may cause sedation and falls"
MALPIP-S2-N04-03,MALPIP,S2 (Independent PIM list),Antiparkinson agents (N04),Benztropine,,"May cause confusion, blurred vision and behavioural changes. Start at low dose if indicated. "
MALPIP-S2-N04-04,MALPIP,S2 (Independent PIM list),Antiparkinson agents (N04),Selegiline,,"Avoid in CrCl less than 30 mL/min and ESRD, severe hepatic impairment. Interact with pethidine, moclobemide, fluoxetine and other tricyclic antidepressants."
MALPIP-S2-N04-05,MALPIP,S2 (Independent PIM list),Antiparkinson agents (N04),Levodopa or dopamine agonists,,"CNS side effects confusion, hallucinations, delusions, psychosis, and agitation. Contraindicated with MAOIs and interact with anticholinergics. Routine blood tests warranted"
MALPIP-S2-N05-01,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Barbiturates with hypnotic properties,Pentobarbital,High potential for physical dependence and risk of overdose at low dosages. May develop tolerance.
MALPIP-S2-N05-02,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Atypical antipsychotics,"Clozapine, olanzapine, amisulpiride, risperidone, aripiprazole, paliperidone, quetiapine","Increase risk of death, metabolic effects, orthostatic hypotension and cardiac arrythmias"
MALPIP-S2-N05-03,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Thioxanthones,"Flupentixol, zuclopenthixol",May increase fall risk and induce Parkinsonism
MALPIP-S2-N05-04,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Chloral hydrate,,"May cause prolonged sedation, cardiac toxicity and hypotension"
MALPIP-S2-N05-05,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Benzodiazepines,"Alprazolam, bromazepam, clobazam, clonazepam, diazepam, lorazepam, midazolam, nitrazepam",Significantly increase the risk of falls. Prescribe as short-term therapy and use short-acting agent if indicated. 
MALPIP-S2-N05-06,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Phenothiazines (first generation antipsychotics),"Chlorpromazine, prochlorperazine, fluphenazine, perphenazine, trifluoperazine, sulpiride","May cause extrapyramidal symptoms, orthostatic hypotension, delirium, QT elongation and sedation. Monitoring of blood pressure and electrocardiogram warranted.  "
MALPIP-S2-N05-07,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Haloperidol,,"Increase risk of extrapyramidal symptoms, sedation, falls, stroke and all-cause mortality. "
MALPIP-S2-N05-08,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Zopiclone,,"Risk of abuse, dependence and withdrawal "
MALPIP-S2-N05-09,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Zolpidem,,"Risk of abuse, dependence and withdrawal"
MALPIP-S2-N05-10,MALPIP,S2 (Independent PIM list),Neuroleptics (N05),Hydroxyzine,,Sedative effects may increase the risk of falls
MALPIP-S2-N06-01,MALPIP,S2 (Independent PIM list),Neuroanaleptics (N06),Selective serotonin re-uptake inhibitors (SSRI’s),"Paroxetine, fluoxetine, fluvoxamine, sertraline","May increase the risk of falls, osteoporosis and fractures. Exert caution in switching and deprescribing antidepressants."
MALPIP-S2-N06-02,MALPIP,S2 (Independent PIM list),Neuroanaleptics (N06),Acetylcholinesterase inhibitors,"Donepezil, rivastigmine, galantamine","Avoid use in older adults with syncope as may increase the risk of or bradycardia. May aggravate weight loss, seizures, Parkinson’s disease, asthma or COPD. Interact with anticholinergics and QT prolongation drugs. Avoid in severe renal and hepatic impairment"
MALPIP-S2-N06-03,MALPIP,S2 (Independent PIM list),Neuroanaleptics (N06),Tricyclic antidepressants,"Imipramine, clomipramine, amitriptyline, doxepin",Increase risk of falls and fractures
MALPIP-S2-N06-04,MALPIP,S2 (Independent PIM list),Neuroanaleptics (N06),Piracetam,,"May cause anxiety, insomnia, agitation, depression, drowsiness, and weight gain."
MALPIP-S2-N06-05,MALPIP,S2 (Independent PIM list),Neuroanaleptics (N06),Methylphenidate,,My increase the risk of cardiovascular events
MALPIP-S2-N07-01,MALPIP,S2 (Independent PIM list),Antivertigo (N07),Flunarizine,,"Contraindicated in people with  a history of depression, may exacerbate Parkinson's disease or other extrapyramidal disorders. Dosages higher than 5 mg/day can lead to an increased risk of extrapyramidal symptoms."
MALPIP-S2-N07-02,MALPIP,S2 (Independent PIM list),Antivertigo (N07),Cinnarizine,,"Parkinsonism such as tremor and rigor are infrequently reported, especially when greater than 150 mg/day"
MALPIP-S2-P01-01,MALPIP,S2 (Independent PIM list),Antimalarials (P01),Hydroxychloroquine,,"May cause prolonged QT, retinal toxicity and macular degeneration. Significant drug interactions. Review medication profile before initiation. "
MALPIP-S2-R03-01,MALPIP,S2 (Independent PIM list),Drugs for obstructive airway diseases (R03),Xanthine derivatives,"Theophylline, aminophylline",Higher risk of toxicity in older adults. Avoid use as first-line.
MALPIP-S2-R03-02,MALPIP,S2 (Independent PIM list),Drugs for obstructive airway diseases (R03),Anti-muscarinic bronchodilators,"Ipratropium, tiotropium","May exacerbate narrow-angle glaucoma, intraocular pressure and prostatic hyperplasia, especially when used long-term"
MALPIP-S2-R06-01,MALPIP,S2 (Independent PIM list),Antihistamines for systemic use (R06),First generation antihistamines,"Brompheniramine, chlorpheniramine, dexchlorpheniramine, dimenhydrinate, diphenhydramine, hydroxyzine, ketotifen, promethazine, triprolidine",Sedative effects increase the risk of falls
MALPIP-S3-CIRC-01,MALPIP,S3 (Disease-specific PIM list),Circulatory system,"Non-COX-2 selective NSAIDs, COX-2 selective NSAIDs, thiazolidinediones",,May exacerbate heart failure
MALPIP-S3-CIRC-02,MALPIP,S3 (Disease-specific PIM list),Circulatory system,"Non dihydropyridine calcium channel blockers (diltiazem, verapamil)","Diltiazem, verapamil",Contraindicated in systolic dysfunction.
MALPIP-S3-CIRC-03,MALPIP,S3 (Disease-specific PIM list),Circulatory system,Digoxin,,Low dose digoxin may reduce hospitalization due to heart failure. Check renal function and electrolytes before initiation.
MALPIP-S3-CIRC-04,MALPIP,S3 (Disease-specific PIM list),Circulatory system,Tricyclic antidepressants,"Imipramine, clomipramine, amitriptyline, doxepin","Affect cardiac contractility, associated with worsening of ischemic heart disease and sudden cardiac death"
MALPIP-S3-CIRC-05,MALPIP,S3 (Disease-specific PIM list),Circulatory system,"Sildenafil, tadalafil, vardenafil","Sildenafil, tadalafil, vardenafil",May cause hypotension. Contraindicated in nitrate users.
MALPIP-S3-CIRC-06,MALPIP,S3 (Disease-specific PIM list),Syncope,"Donepezil, rivastigmine, galantamine","Donepezil, rivastigmine, galantamine","Increase the risk of bradycardia and syncope. If necessary, gradual dose increment and pre-treatment ECG recommended."
MALPIP-S3-CIRC-07,MALPIP,S3 (Disease-specific PIM list),Syncope,Non-selective alpha-blockers,"Tamsulosin, alfuzosin, terazosin","Increase the risk of syncope and hypotension. If necessary, give the first dose at bedtime."
MALPIP-S3-CIRC-08,MALPIP,S3 (Disease-specific PIM list),Syncope,"Tricyclic antidepressants, benzodiazepines, antipsychotics","Amitriptyline, diazepam, haloperidol",Increase risk of hypotension
MALPIP-S3-CIRC-09,MALPIP,S3 (Disease-specific PIM list),Syncope,Methyldopa,,"Increase risk of hypotension. Could be indicated in resistant hypertension. If necessary, consider low dose initiation at 250 mg and maximum daily dose of 1000 mg."
MALPIP-S3-CIRC-10,MALPIP,S3 (Disease-specific PIM list),Syncope,Venlafaxine,,"May cause orthostatic hypotension. Measure standing and sitting BP, and baseline ECG in existing cardiac disease."
MALPIP-S3-CIRC-11,MALPIP,S3 (Disease-specific PIM list),Bradycardia,Beta-blockers,"Propranolol, labetalol, sotalol",Start with low dose and titrate up to tolerable dosage.
MALPIP-S3-CIRC-12,MALPIP,S3 (Disease-specific PIM list),Bradycardia,"Donepezil, rivastigmine, galantamine","Donepezil, rivastigmine, galantamine",Increase risk of hospitalization due to bradycardia. Monitor heart rate if started.
MALPIP-S3-CIRC-13,MALPIP,S3 (Disease-specific PIM list),Bradycardia,"Non dihydropyridine calcium channel blockers (diltiazem, verapamil)","Diltiazem, verapamil",Increase the risk of bradycardia
MALPIP-S3-CIRC-14,MALPIP,S3 (Disease-specific PIM list),Arrhythmias,Antiarrhythmics,"Amiodarone, flecainide","Increase the risk of bradycardia. Examine drug-drug interactions , routine blood test and ECG if started."
MALPIP-S3-CIRC-15,MALPIP,S3 (Disease-specific PIM list),Arrhythmias,Tricyclic antidepressants,"Amitriptyline, imipramine",May cause arrhythmias
MALPIP-S3-CIRC-16,MALPIP,S3 (Disease-specific PIM list),Arrhythmias,Antipsychotics,"Haloperidol, risperidone, quetiapine",May cause arrhythmias
MALPIP-S3-CIRC-17,MALPIP,S3 (Disease-specific PIM list),Arrhythmias,Donepezil,Donepezil,"May cause arrhythmias, reversible torsade’s de pointes and acquired long Q-T syndrome"
MALPIP-S3-CIRC-18,MALPIP,S3 (Disease-specific PIM list),Arrhythmias,Quinine,,May induce arrhythmia and prolong QT-interval
MALPIP-S3-CIRC-19,MALPIP,S3 (Disease-specific PIM list),Hypertension,Loop diuretics,"Furosemide, bumetanide","Increase risk of falls, urinary incontinence, acute kidney injury, electrolyte imbalances."
MALPIP-S3-CIRC-20,MALPIP,S3 (Disease-specific PIM list),Hypertension,Non-selective alpha blockers,"Tamsulosin, alfuzosin, terazosin",May cause hypotension and syncope. Should not be considered as first line agent.
MALPIP-S3-CIRC-21,MALPIP,S3 (Disease-specific PIM list),Hypertension,NSAIDs,"Diclofenac, ibuprofen, naproxen",May increase blood pressure. Consider other alternatives if possible. Monitor blood pressure if initiated.
MALPIP-S3-CIRC-22,MALPIP,S3 (Disease-specific PIM list),Hypertension,Thiazides,"Hydrochlorothiazide, indapamide",May cause electrolyte imbalances. Baseline serum electrolyte measurement and routine monitoring warranted.
MALPIP-S3-CIRC-23,MALPIP,S3 (Disease-specific PIM list),Hypertension,Methyldopa,,"Increase risk of hypotension. Could be indicated in resistant hypertension. If necessary, consider low dose initiation at 250 mg and maximum daily dose of 1000 mg."
MALPIP-S3-NS-01,MALPIP,S3 (Disease-specific PIM list),Nervous system,"Urological spasmolytic (e.g. oxybutynin, tolterodine), first-generation antihistamines, antiparkinson drugs, antiemetics, muscle relaxants (e.g. orphenadrine), tricyclic antidepressants, paroxetine, antipsychotics, disopyramide, intestinal antispasmodics (e.g. atropine, scopolamine), psychostimulants (methylphenidate), barbiturates, benzodiazepines, zolpidem, deferoxamine, testosterone, corticosteroids, dopamine agonist, antiepileptics",,May cause delirium and worsen cognitive function. Deprescribe after considering risk-benefits ratio
MALPIP-S3-NS-02,MALPIP,S3 (Disease-specific PIM list),Nervous system,"Antipsychotics, benzodiazepines, zolpidem, opioids, tricyclic antidepressants, antiepileptics (e.g. carbamazepine, phenytoin), first generation antihistamines, non-selective alpha blockers, non-selective beta-blockers, paroxetine, duloxetine, loop diuretics",,Increase risk of falls due to sedative or hypotensive effects
MALPIP-S3-NS-03,MALPIP,S3 (Disease-specific PIM list),Nervous system,"Antipsychotics (except quetiapine, clozapine), antiemetics (e.g. prochlorperazine, promethazine, metoclopramide)",,May worsen Parkinson symptoms
MALPIP-S3-NS-04,MALPIP,S3 (Disease-specific PIM list),Nervous system,Benzhexol,,"Avoid use in prevention of antipsychotic-induced extrapyramidal symptoms and treatment of Parkinson disease, as more effective agents are available."
MALPIP-S3-NS-05,MALPIP,S3 (Disease-specific PIM list),Nervous system,Antipsychotics,,May use as last line. Start with lose dose and titrate up to minimum effective dose. Regular assessment warranted. Deprescribe gradually and monitor relapse.
MALPIP-S3-NS-06,MALPIP,S3 (Disease-specific PIM list),Nervous system,Anticonvulsants,,Risk outweighs benefit. Avoid routine use.
MALPIP-S3-NS-07,MALPIP,S3 (Disease-specific PIM list),Nervous system,Benzodiazepines,"Alprazolam, bromazepam, clobazam, clonazepam, diazepam, lorazepam, midazolam, nitrazepam",May cause sedation and worsen cognition. Only for short-term use in acute crisis. Avoid using as hypnotics.
MALPIP-S3-NS-08,MALPIP,S3 (Disease-specific PIM list),Nervous system,Antipsychotics,,"Atypical antipsychotics could be useful in insomnia. However, avoid as first-line agent."
MALPIP-S3-NS-09,MALPIP,S3 (Disease-specific PIM list),Nervous system,"Psychostimulants (e.g. methylphenidate, caffeine), theophylline, pseudoephedrine",,May cause insomnia
MALPIP-S3-NS-10,MALPIP,S3 (Disease-specific PIM list),Nervous system,Benzodiazepines,"Alprazolam, bromazepam, clobazam, clonazepam, diazepam, lorazepam, midazolam, nitrazepam",Risk outweighs benefit
MALPIP-S3-NS-11,MALPIP,S3 (Disease-specific PIM list),Nervous system,Barbiturates,Phenobarbitone,High potential for physical dependence and risk of overdose at low dosages. May develop tolerance.
MALPIP-S3-NS-12,MALPIP,S3 (Disease-specific PIM list),Nervous system,Tricyclic antidepressants,"Imipramine, clomipramine, amitriptyline, doxepin","Associated with orthostatic hypotension, falls and cardiac side effects."
MALPIP-S3-NS-13,MALPIP,S3 (Disease-specific PIM list),Nervous system,Z-hypnotics,,Long-term safety not established
MALPIP-S3-NS-14,MALPIP,S3 (Disease-specific PIM list),Nervous system,Levodopa and dopamine agonists,,Lack of efficacy evidence
MALPIP-S3-NS-15,MALPIP,S3 (Disease-specific PIM list),Nervous system,Benzhexol,,May cause delirium and confusion.
MALPIP-S3-NS-16,MALPIP,S3 (Disease-specific PIM list),Nervous system,"Centrally acting antihypertensives (e.g. methyldopa, reserpine)",,May precipitate depression
MALPIP-S3-NS-17,MALPIP,S3 (Disease-specific PIM list),Nervous system,Tricyclic antidepressant,,Risk outweighs benefit
MALPIP-S3-NS-18,MALPIP,S3 (Disease-specific PIM list),Nervous system,"Antipsychotics, bupropion, antidepressants, beta-lactam antibiotics, theophylline, H2 antagonists, levodopa, isoniazid, opioids",,May induce seizure events
MALPIP-S3-GI-01,MALPIP,S3 (Disease-specific PIM list),Gastrointestinal system,"Aspirin, Non-COX-2 Selective NSAIDs, Corticosteroids",,"General: If indicated, use with caution. Assess patient’s gastrointestinal risk factors and combine with PPI to reduce risk of ulcers"
MALPIP-S3-GI-02,MALPIP,S3 (Disease-specific PIM list),Gastrointestinal system,Oral bisphosphonates,,May cause oesophageal ulcers and esophagitis 
MALPIP-S3-GI-03,MALPIP,S3 (Disease-specific PIM list),Gastrointestinal system,"Drugs with anticholinergics properties, verapamil, oral iron, opioids, aluminium antacids, tricyclic antidepressants, calcium supplements",,May cause constipation
